employee_id,role,task_description
1,Doctor,Examine patient vitals for cardiology patients.
1,Doctor,Examine patient vitals for oncology patients.
1,Doctor,Examine patient vitals for ICU patients.
1,Doctor,Examine patient vitals for outpatient clinic.
1,Doctor,Examine patient vitals for emergency cases.
1,Doctor,Examine symptoms for cardiology patients.
1,Doctor,Examine symptoms for oncology patients.
1,Doctor,Examine symptoms for ICU patients.
1,Doctor,Examine symptoms for outpatient clinic.
1,Doctor,Examine symptoms for emergency cases.
1,Doctor,Examine treatment plans for cardiology patients.
1,Doctor,Examine treatment plans for oncology patients.
1,Doctor,Examine treatment plans for ICU patients.
1,Doctor,Examine treatment plans for outpatient clinic.
1,Doctor,Examine treatment plans for emergency cases.
1,Doctor,Examine medical history for cardiology patients.
1,Doctor,Examine medical history for oncology patients.
1,Doctor,Examine medical history for ICU patients.
1,Doctor,Examine medical history for outpatient clinic.
1,Doctor,Examine medical history for emergency cases.
1,Doctor,Examine lab results for cardiology patients.
1,Doctor,Examine lab results for oncology patients.
1,Doctor,Examine lab results for ICU patients.
1,Doctor,Examine lab results for outpatient clinic.
1,Doctor,Examine lab results for emergency cases.
1,Doctor,Diagnose patient vitals for cardiology patients.
1,Doctor,Diagnose patient vitals for oncology patients.
1,Doctor,Diagnose patient vitals for ICU patients.
1,Doctor,Diagnose patient vitals for outpatient clinic.
1,Doctor,Diagnose patient vitals for emergency cases.
1,Doctor,Diagnose symptoms for cardiology patients.
1,Doctor,Diagnose symptoms for oncology patients.
1,Doctor,Diagnose symptoms for ICU patients.
1,Doctor,Diagnose symptoms for outpatient clinic.
1,Doctor,Diagnose symptoms for emergency cases.
1,Doctor,Diagnose treatment plans for cardiology patients.
1,Doctor,Diagnose treatment plans for oncology patients.
1,Doctor,Diagnose treatment plans for ICU patients.
1,Doctor,Diagnose treatment plans for outpatient clinic.
1,Doctor,Diagnose treatment plans for emergency cases.
1,Doctor,Diagnose medical history for cardiology patients.
1,Doctor,Diagnose medical history for oncology patients.
1,Doctor,Diagnose medical history for ICU patients.
